"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"108",0.765,0.412,7,-8.932,0,0.0726,0.72,0,0.126,0.632,109.986,"audio_features","2BqQQXuBOuhaWeUP7okEx0","spotify:track:2BqQQXuBOuhaWeUP7okEx0","https://api.spotify.com/v1/tracks/2BqQQXuBOuhaWeUP7okEx0","https://api.spotify.com/v1/audio-analysis/2BqQQXuBOuhaWeUP7okEx0",211573,4,"pop"
"109",0.826,0.318,10,-12.391,1,0.0574,0.493,0.0131,0.11,0.138,103.002,"audio_features","6G8kHiVZ1jW7vHMPVRNZU0","spotify:track:6G8kHiVZ1jW7vHMPVRNZU0","https://api.spotify.com/v1/tracks/6G8kHiVZ1jW7vHMPVRNZU0","https://api.spotify.com/v1/audio-analysis/6G8kHiVZ1jW7vHMPVRNZU0",245787,4,"pop"
"110",0.87,0.502,5,-7.497,0,0.0549,0.549,0.00356,0.0916,0.673,82.53,"audio_features","3QWjljChcOMkRDYSzF33Qr","spotify:track:3QWjljChcOMkRDYSzF33Qr","https://api.spotify.com/v1/tracks/3QWjljChcOMkRDYSzF33Qr","https://api.spotify.com/v1/audio-analysis/3QWjljChcOMkRDYSzF33Qr",160597,4,"pop"
"111",0.735,0.494,8,-7.607,0,0.115,0.0108,1.05e-06,0.108,0.143,135.159,"audio_features","4MdQkwmoI9lrUfHGD7wOzy","spotify:track:4MdQkwmoI9lrUfHGD7wOzy","https://api.spotify.com/v1/tracks/4MdQkwmoI9lrUfHGD7wOzy","https://api.spotify.com/v1/audio-analysis/4MdQkwmoI9lrUfHGD7wOzy",170752,4,"pop"
"112",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,"audio_features","6gBFPUFcJLzWGx4lenP6h2","spotify:track:6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2","https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2",243837,4,"pop"
"113",0.748,0.627,7,-6.029,1,0.0644,0.131,0,0.0852,0.524,120.963,"audio_features","000xQL6tZNLJzIrtIgxqSl","spotify:track:000xQL6tZNLJzIrtIgxqSl","https://api.spotify.com/v1/tracks/000xQL6tZNLJzIrtIgxqSl","https://api.spotify.com/v1/audio-analysis/000xQL6tZNLJzIrtIgxqSl",188491,4,"pop"
"114",0.793,0.567,2,-7.604,1,0.0813,0.0687,0,0.0663,0.813,108.007,"audio_features","5pqUc0SPA1EmhdOyD9Ou45","spotify:track:5pqUc0SPA1EmhdOyD9Ou45","https://api.spotify.com/v1/tracks/5pqUc0SPA1EmhdOyD9Ou45","https://api.spotify.com/v1/audio-analysis/5pqUc0SPA1EmhdOyD9Ou45",188889,4,"pop"
"115",0.793,0.824,2,-3.476,1,0.177,0.006,3.29e-06,0.169,0.611,98.019,"audio_features","4dSoDnmR9opAQ8KxUc9SbC","spotify:track:4dSoDnmR9opAQ8KxUc9SbC","https://api.spotify.com/v1/tracks/4dSoDnmR9opAQ8KxUc9SbC","https://api.spotify.com/v1/audio-analysis/4dSoDnmR9opAQ8KxUc9SbC",199945,4,"pop"
"116",0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,"audio_features","5yFSF6qQA1rcLsQRnBsZgb","spotify:track:5yFSF6qQA1rcLsQRnBsZgb","https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb","https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb",199111,4,"pop"
"117",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,"audio_features","0s3nnoMeVWz3989MkNQiRf","spotify:track:0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf","https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf",239836,4,"pop"
